filename,name,category,brand,price,color,description
pexels-ann-zzz-60709506-8128794.jpg,Classic Wooden Chair,Furniture,Ikea,199,Brown,"Elegant wooden chair with a minimalist design"
pexels-karolina-grabowska-4210317.jpg,Organic Skincare Kit,Beauty,HerbalCare,49,Green,"Natural skincare set with essential oils"
pexels-klaus-nielsen-6294151.jpg,Modern Office Laptop,Electronics,Dell,899,Silver,"High-performance laptop for professionals"
pexels-klaus-nielsen-6294205.jpg,Wireless Headphones,Electronics,Sony,199,Black,"Noise-cancelling headphones with premium sound"
pexels-muffin-1639813.jpg,Fresh Blueberry Muffins,Food,Homemade,9,Blue,"Delicious homemade blueberry muffins"
pexels-n-voitkevich-8965143.jpg,Coffee Maker,Appliances,Philips,129,Black,"Automatic coffee machine with timer and grinder"
pexels-obi-onyeador-1787470-13009437.jpg,Luxury Wrist Watch,Accessories,Rolex,4999,Gold,"Premium wristwatch with leather strap"
pexels-obi-onyeador-1787470-13566767.jpg,Smart Fitness Watch,Electronics,Fitbit,299,Black,"Fitness smartwatch with heart rate and GPS"
pexels-pavel-danilyuk-7055286.jpg,Professional Camera,Electronics,Canon,1499,Black,"DSLR camera with high-resolution lens"
pexels-sarah-chai-7262768.jpg,Sports Shoes,Fashion,Nike,129,White,"Comfortable running shoes for everyday training"
pexels-sarah-chai-7262994.jpg,Designer Handbag,Fashion,Gucci,1999,Red,"Luxury handbag made with premium leather"
pexels-sarah-chai-7263024.jpg,Perfume Bottle,Beauty,Chanel,299,Pink,"Signature fragrance with floral notes"
pexels-suzyhazelwood-2537930.jpg,Classic Novel Book,Books,Penguin,19,Beige,"Timeless classic novel reprinted edition"
